Time(sec),rx(m),ry(m),rz(m),vx(m/s),vy(m/s),vz(m/s)
0.0,-4944559.17407762,5091026.32253509,14967.568398633,568.983806254046,535.694647212606,7489.45082782167
100.0,-4860209.930474859,5116123.243183098,762434.8901173845,1116.4024057552842,-34.18926140729866,7445.997411532038
200.0,-4721703.038964555,5084210.964725724,1501397.0167189934,1651.1006998860798,-603.3964986046941,7319.52470010286
300.0,-4530618.454768527,4995684.539318949,2223622.177093682,2166.9553949256033,-1165.3906686615392,7111.602712168066
400.0,-4289136.532812671,4851587.784883792,2921085.16918966,2658.095186055088,-1713.747532498911,6824.78681616073
500.0,-4000008.905729627,4653597.724202838,3586063.8320373297,3118.978162194846,-2242.241207342851,6462.573899745709
600.0,-3666521.9644031315,4404000.646248763,4211230.39078641,3544.4621096666,-2744.925230563277,6029.343960322914
700.0,-3292453.716866987,4105660.385084003,4789736.313308865,3929.866467640051,-3216.2069137154504,5530.289101016141
800.0,-2882024.905931443,3761979.550176544,5315289.528319086,4271.025088020965,-3650.913791511148,4971.332140933357
900.0,-2439845.3327203,3376854.5438714065,5782223.079746003,4564.329298846545,-4044.3513124253386,4359.037108909996
1000.0,-1970856.3687644359,2954625.272532699,6185554.519634692,4806.761057281006,-4392.35120325155,3700.513901397631
1100.0,-1480270.6465358785,2500020.500399038,6521035.5704211425,4995.916266325704,-4691.310231849997,3003.319389917403
1200.0,-973509.8950224353,2018099.8058341201,6785191.813028383,5130.018649636477,-4938.219439042592,2275.357180062629
1300.0,-456141.8322132146,1514193.0745578376,6975352.365648073,5207.924871248597,-5130.684262193051,1524.7779553437417
1400.0,66183.05189866666,993838.4087766013,7089669.690908313,5229.121751751982,-5266.936214785466,759.8819145320235
1500.0,587794.0747994212,462719.2598457956,7127129.798167557,5193.716439352163,-5345.836856532066,-10.9756098818508
1600.0,1103061.638823277,-73398.47967558459,7087553.201298586,5102.420322139766,-5366.874746191178,-779.4745384402681
1700.0,1606456.617820938,-608728.7557229234,6971587.0663119275,4956.5274264064865,-5330.156034266823,-1537.4157565378505
1800.0,2092607.3397050784,-1137526.4021644841,6780689.045473547,4757.888065943041,-5236.38938489947,-2276.801595379631
1900.0,2556353.729051802,-1654146.4295897044,6517103.340129559,4508.8785200741895,-5086.865964540384,-2989.9107433638037
2000.0,2992798.24875513,-2153101.0962840226,6183829.5546546895,4212.367441008208,-4883.43520636078,-3669.3675213617607
2100.0,3397353.3418697882,-2629114.369147312,5784584.899743596,3871.6795232204413,-4628.476926012887,-4308.205648846737
2200.0,3765785.119021894,-3077173.43127735,5323760.287790704,3490.5567949175816,-4324.870195055643,-4899.9266560011465
2300.0,4094253.067408273,-3492576.9273051154,4806370.851646734,3073.1178014758807,-3975.9592679942007,-5438.553005899702
2400.0,4379345.583881806,-3870979.665511423,4238001.416401752,2623.8149512650325,-3585.5168382329657,-5918.6759058703865
2500.0,4618111.163018621,-4208433.524195213,3624747.456629458,2147.3903186642456,-3157.7049165304925,-6335.497787965227
2600.0,4808085.100110813,-4501424.338969271,2973152.0707906876,1648.8301810758758,-2697.0336142424817,-6684.869495660465
2700.0,4947311.593767077,-4746904.573310826,2290139.498894714,1133.3185040578396,-2208.3180571157704,-6963.322240569876
2800.0,5034361.151160805,-4942321.594133215,1582945.704999213,606.18953374827,-1696.6335971619835,-7168.094344388132
2900.0,5068343.214282771,-5085641.3898273455,859046.5488793532,72.8796535010107,-1167.2694781355428,-7297.152695956031
3000.0,5048913.94318482,-5175367.585298372,126084.08123496722,-461.1212954505954,-625.681145803049,-7349.208802886639
3100.0,4976279.1145186005,-5210555.629916922,-608208.4913284872,-990.3189863971262,-77.44143716957137,-7323.729329932581
3200.0,4851192.118824591,-5190822.058771252,-1336082.616574002,-1509.2636179903748,471.80910143965014,-7220.941057277303
3300.0,4674947.065067538,-5116348.752347582,-2049850.42181662,-2012.5987182399388,1016.4125237944754,-7041.830212648125
3400.0,4449367.025283954,-4987882.144053351,-2741960.388889671,-2495.109496131163,1550.744175164325,-6788.136125839926
3500.0,4176787.4776384053,-4806727.350565333,-3405072.1086282614,-2951.7704758801374,2069.2634974657417,-6462.3391592763455
3600.0,3860035.0336036338,-4574737.228017459,-4032129.5417504134,-3377.792133944162,2566.5646590338556,-6067.642909272951
3700.0,3502401.562456331,-4294296.385696334,-4616432.215211352,-3768.6662748038757,3037.426731570334,-5607.950724546745
3800.0,3107613.8507928816,-3968300.2146933125,-5151703.788740248,-4120.20992009479,3476.863178294968,-5087.836597566797
3900.0,2679798.955957391,-3600129.0107751545,-5632157.429549724,-4428.60750616986,3880.1704468889225,-4512.510430316344
4000.0,2223445.433798419,-3193617.292007567,-6052557.429557908,-4690.451155957571,4242.975438444835,-3887.7776026592046
4100.0,1743360.647743275,-2753018.43776483,-6408276.490430817,-4902.778725226424,4561.281554838637,-3219.9927462724972
4200.0,1244624.3992515353,-2282964.8091242244,-6695348.093774695,-5063.109266753751,4831.512959296471,-2516.007670488624
4300.0,732539.1566143748,-1788423.5489088073,-6910513.371729702,-5169.475536565493,5050.5566572210655,-1783.1134493223472
4400.0,212577.19678010745,-1274648.2990407858,-7051261.895596318,-5220.4531622435725,5215.802002457526,-1028.9766981702346
4500.0,-309674.98565682565,-747127.1133930852,-7115865.801795762,-5215.186055432085,5325.1772044225845,-261.57004183098945
4600.0,-828574.6021880568,-211526.89088440698,-7103406.673880188,-5153.407559590842,5377.182319556234,510.90322865111693
4700.0,-1338482.370287809,326365.2883857589,-7013794.602598071,-5035.456714963057,5370.918081172882,1280.0902242522843
4800.0,-1833823.6670094542,860703.4707852626,-6847778.863102642,-4862.288949515817,5306.109813608667,2037.5749848886148
4900.0,-2309150.443275852,1385646.248770828,-6606949.685557788,-4635.480483064364,5183.125619984972,2774.9699884204674
5000.0,-2759203.234511242,1895421.6781333624,-6293730.653020929,-4357.225730565568,5002.9880047061815,3484.0119670961835
